LAT,LONG,TIPOLOGIA__Bosco,TIPOLOGIA__Canneto,TIPOLOGIA__Macchia,CODICE COL__Arancione,CODICE COL__Bianco,CODICE COL__Giallo,CODICE COL__Rosso,CODICE COL__Verde,ANNO,MESE
40.870306,16.953226,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,7.0
40.753889,16.709167,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,7.0
41.080222,16.816222,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2022.0,7.0
40.912276,16.859365,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,7.0
41.027556,16.364722,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,7.0
40.775194,16.478111,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,7.0
40.937556,16.371667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,7.0
40.772222,16.693889,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,8.0
40.807182,16.812649,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,8.0
40.926333,16.642667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,8.0
41.128639,16.802472,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2022.0,8.0
41.110934,16.738206,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2022.0,8.0
40.9075,16.780278,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2022.0,9.0
40.957639,16.660694,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,9.0
40.9175,16.789722,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,9.0
40.853333,16.808056,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2022.0,9.0
40.871966,16.954441,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2022.0,9.0
41.096918,16.927217,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,9.0
40.73,16.387222,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2022.0,10.0
40.981361,16.696361,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,5.0
41.008778,16.315417,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,5.0
40.845333,16.889389,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,5.0
40.871389,16.791667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
40.796111,16.798333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
41.035722,16.444361,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
41.033806,16.982722,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,6.0
40.722722,16.396889,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
40.804444,16.438417,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
40.812778,16.773611,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
40.855833,16.879722,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
40.891722,16.647806,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
41.104944,16.687639,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,6.0
40.933694,16.853667,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
